ds,yhat
2023-01-01,195.60390098918668
2023-01-02,221.4560691753562
2023-01-03,245.97811056614324
2023-01-04,270.50014580517814
2023-01-05,295.0221755690222
2023-01-06,299.5442061804642
2023-01-07,344.5384389309208
2023-01-08,371.73542618290503
2023-01-09,398.54351161315464
2023-01-10,424.0214704715017
2023-01-11,449.49942314898664
2023-01-12,474.977370381515
2023-01-13,480.4552255089891
2023-01-14,525.4612885862285
2023-01-15,552.6605947375983
2023-01-16,579.4686803851849
2023-01-17,604.94663923487
2023-01-18,630.42459190467
2023-01-19,655.9025391110646
2023-01-20,661.380394238562
2023-01-21,706.3864573157912
2023-01-22,733.5857634671806
2023-01-23,760.3938491147064
2023-01-24,785.8718079644168
2023-01-25,811.3497606342675
